Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:13.11Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:10.27
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:9.62Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:6.47
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:17.90Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:14.76
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:9.64Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:23.07
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:13.81Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:10.66
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:26.33Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:19.01
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:15.94Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:8.61
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.34Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:17.00
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:9.69Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:6.54
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:22.33Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:14.97
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:11.82Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:23.41
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:20.29Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:12.91
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:9.73Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:21.39
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:18.24Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:10.84
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:26.77Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:19.36
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:16.17Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:8.75
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.74Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:17.30
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:14.07Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:6.63
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:22.68Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:15.23
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:11.96Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:8.81
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:20.60Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:13.13
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:9.81Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:21.79
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:18.51Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:11.02
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:27.21Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.07
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:16.39Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:8.88
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.13Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:17.61
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:14.25Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:6.71
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:23.03Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:15.49
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:12.08Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.29
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:20.91Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:13.35
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:9.90Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:22.19
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:18.77Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:11.19
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:27.65Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:20.06
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:16.61Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:9.01
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.53Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:17.92
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:14.42Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:6.80
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:23.38Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:15.76
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:12.22Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.73
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:21.22Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:13.57
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:9.99Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:22.58
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:19.03Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:11.36
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:28.09Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:20.42
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:16.83Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:9.14
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:10.03Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:18.23
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:19.16Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:6.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:28.31Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:16.02
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:16.94Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.17
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:26.12Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:13.79
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:16.98Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:22.98
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:22.51Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:19.37
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:22.51Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.72Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:4.04Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:0.89
